rank,Company Name,Industry,State,City,Metro Area,Growth (%),Revenue ($),Number of Workers,Years on List
3821,TriNet,Human Resources,California,San Leandro,San Francisco,81.4493,1644275000,1783,12
4238,Auction Systems,Business Products & Services,Arizona,Phoenix,Phoenix,66.8745,165398236,226,11
4586,Skoda Minotti,Financial Services,Ohio,Mayfield Village,Cleveland,55.2056,40012000,226,11
4676,GoDaddy.com,IT Services,Arizona,Scottsdale,Phoenix,52.5625,1130845000,4440,11
4266,(add)ventures,Advertising & Marketing,Rhode Island,Providence,Providence-New Bedford-Fall River RI-MA,65.7443,9695342,42,10
4669,The Benecon Group,Insurance,Pennsylvania,Lititz,Lancaster PA,52.7124,26744447,83,10
4875,VitalSmarts,Business Products & Services,Utah,Provo,Provo-Orem UT,46.6332,47349035,111,10
3442,G&A Partners,Human Resources,Texas,Houston,Houston,96.5202,805736000,120,10
4733,MicroPact,Software,Virginia,Herndon,Washington DC,50.8572,20347494,162,10
2672,Integrity Staffing Solutions,Human Resources,Delaware,Wilmington,Philadelphia,140.5585,374315357,325,10
3454,WeLocalize,Business Products & Services,Maryland,Frederick,Washington DC,96.2188,118337051,600,10
3015,Stone Brewing,Food & Beverage,California,Escondido,San Diego,118.401,136330955,628,10
2785,Paylocity,Human Resources,Illinois,Arlington Heights,Chicago,133.0609,77294000,838,10
3131,Total Quality Logistics,Logistics & Transportation,Ohio,Cincinnati,Cincinnati,112.7047,1621033577,2363,10
4950,ABC Supply,Construction,Wisconsin,Beloit,Janesville WI,44.0068,4911166514,7355,10
1525,Royal Buying Group,Advertising & Marketing,Illinois,Lisle,Chicago,280.2242,368744342,32,9
4194,Jarrett Logistics Systems,Logistics & Transportation,Ohio,Orrville,Wooster OH,68.4305,38846595,44,9
4979,Securities Service Network,Real Estate,Tennessee,Knoxville,Knoxville TN,43.0541,114153829,58,9
3425,Gimmal,Software,Texas,Houston,Houston,97.4338,25062976,136,9
2278,MDOL,Health,New Jersey,Parsippany,New York City,170.9567,32401000,165,9
3591,Vology,Computer Hardware,Florida,Oldsmar,Tampa,90.4671,128294891,191,9
4502,Dataprise,IT Services,Maryland,Rockville,Washington DC,57.6492,27251806,196,9
2916,5Linx Enterprises,Telecommunications,New York,Rochester,Rochester NY,124.5919,112397000,242,9
3595,Novae,Manufacturing,Indiana,Markle,Huntington IN,90.2602,57406275,253,9
3731,iCIMS,Software,New Jersey,Matawan,New York City,84.7069,47401022,270,9
3586,Swiss Watch International,Retail,Florida,Hollywood,Miami,90.6507,165221237,300,9
3675,Hiller Plumbing Heating & Cooling,Construction,Tennessee,Nashville,Nashville,87.3695,60879776,392,9
3759,CapTech Ventures,IT Services,Virginia,Richmond,Richmond VA,83.6777,78671000,411,9
2168,Cenergy International Services,Energy,Texas,Houston,Baton Rouge LA,183.0364,280772798,436,9
3293,MobilityWorks,Logistics & Transportation,Ohio,Akron,Akron OH,103.0437,158753917,456,9
3091,Bodybuilding.com,Retail,Idaho,Boise,Boise City-Nampa ID,114.8276,420482000,488,9
1846,Delaware Resource Group/Busey Group,Government Services,Oklahoma,Oklahoma City,Oklahoma City OK,222.2353,77712337,661,9
2401,Paycom,Human Resources,Oklahoma,Oklahoma City,Oklahoma City OK,160.5288,107601000,831,9
4623,Carousel Industries,Telecommunications,Rhode Island,Exeter,Providence-New Bedford-Fall River RI-MA,54.2115,350051061,1064,9
4032,Eliassen Group,IT Services,Massachusetts,Wakefield,Boston,73.8274,170651944,1088,9
3903,Pacific Dental Services,Health,California,Irvine,Los Angeles,78.5448,627767000,5010,9
4459,RuffaloCODY,Business Products & Services,Iowa,Cedar Rapids,Iowa City IA,59.1775,91975402,5265,9
3345,Health Advocate,Health,Pennsylvania,Plymouth Meeting,Philadelphia,100.5489,86092370,,8
4810,Metal Resource Solutions,Manufacturing,Ohio,West Chester,Cincinnati,48.3586,13112969,10,8
4969,Pediatric Therapeutic Services,Education,Pennsylvania,Conshohocken,Philadelphia,43.5599,9864000,11,8
3189,Humble Abode,Retail,California,Santa Rosa,Santa Rosa-Petaluma CA,109.6419,10727154,17,8
2464,GetWireless,Telecommunications,Minnesota,Minnetonka,Minneapolis,155.202,36670296,21,8
4583,The Tellennium Group,Telecommunications,Kentucky,Louisville,Louisville/Jefferson KY-IN,55.371,20112202,21,8
4078,MedExpress Pharmacy,Health,North Carolina,Salisbury,Salisbury NC,72.3035,32707070,26,8
3093,KEEPRS,Retail,Minnesota,Sauk Rapids,St. Cloud MN,114.7071,9195731,28,8
4145,Bar Harbor Foods,Food & Beverage,Maine,Whiting,,69.9527,7788517,28,8
4519,Popcorn Palace,Food & Beverage,Illinois,Burr Ridge,Chicago,57.1154,7297878,30,8
2598,CentraComm,IT Services,Ohio,Findlay,Findlay OH,144.4738,18702870,31,8
3658,Prime Technology Group,IT Services,Pennsylvania,King of Prussia,Philadelphia,87.9739,10021057,31,8
4753,Fleet Feet,Retail,North Carolina,Carrboro,Durham NC,50.1886,7058585,32,8
1918,Bruce Clay,Advertising & Marketing,California,Moorpark,Oxnard-Thousand Oaks-Ventura CA,212.5348,13604638,38,8
