,Rank,Company name,Industry,State,City,Metro area,Growth pct,Revenue,Number of worker,Year on the list
,3345,Health Advocate,Health,Pennsylvania,Plymouth Meeting,Philadelphia,100.5489,86092370,,8
,4810,Metal Resource Solutions,Manufacturing,Ohio,West Chester,Cincinnati,48.3586,13112969,10,8
,4969,Pediatric Therapeutic Services,Education,Pennsylvania,Conshohocken,Philadelphia,43.5599,9864000,11,8
,3189,Humble Abode,Retail,California,Santa Rosa,Santa Rosa-Petaluma CA,109.6419,10727154,17,8
,2464,GetWireless,Telecommunications,Minnesota,Minnetonka,Minneapolis,155.202,36670296,21,8
,4583,The Tellennium Group,Telecommunications,Kentucky,Louisville,Louisville/Jefferson KY-IN,55.371,20112202,21,8
,4078,MedExpress Pharmacy,Health,North Carolina,Salisbury,Salisbury NC,72.3035,32707070,26,8
,3093,KEEPRS,Retail,Minnesota,Sauk Rapids,St. Cloud MN,114.7071,9195731,28,8
,4145,Bar Harbor Foods,Food & Beverage,Maine,Whiting,,69.9527,7788517,28,8
,4519,Popcorn Palace,Food & Beverage,Illinois,Burr Ridge,Chicago,57.1154,7297878,30,8
,2598,CentraComm,IT Services,Ohio,Findlay,Findlay OH,144.4738,18702870,31,8
,3658,Prime Technology Group,IT Services,Pennsylvania,King of Prussia,Philadelphia,87.9739,10021057,31,8
,1525,Royal Buying Group,Advertising & Marketing,Illinois,Lisle,Chicago,280.2242,368744342,32,9
,4753,Fleet Feet,Retail,North Carolina,Carrboro,Durham NC,50.1886,7058585,32,8
,1918,Bruce Clay,Advertising & Marketing,California,Moorpark,Oxnard-Thousand Oaks-Ventura CA,212.5348,13604638,38,8
,4266,(add)ventures,Advertising & Marketing,Rhode Island,Providence,Providence-New Bedford-Fall River RI-MA,65.7443,9695342,42,10
,2662,Blue Tech,Computer Hardware,California,San Diego,San Diego,141.0435,184320227,43,8
,3955,WorkSmart,IT Services,North Carolina,Durham,Durham NC,76.5022,7226000,43,8
,2886,Edwards Project Solutions,Business Products & Services,Maryland,Elkridge,Baltimore,126.7238,8579062,44,8
,4194,Jarrett Logistics Systems,Logistics & Transportation,Ohio,Orrville,Wooster OH,68.4305,38846595,44,9
,4287,House of Antique Hardware,Retail,Oregon,Portland,Portland OR,65.0654,15341439,44,8
,4309,Softwriters,Health,Pennsylvania,Allison Park,Pittsburgh PA,64.5984,16977317,48,8
,3564,Kelton,Advertising & Marketing,California,Culver City,Los Angeles,91.4152,19888984,50,8
,4829,Via Trading,Business Products & Services,California,Lynwood,Los Angeles,47.8399,37569889,50,8
,4627,LetterLogic,Business Products & Services,Tennessee,Nashville,Nashville,54.0432,27932820,51,8
,3685,IMS ExpertServices,Business Products & Services,Florida,Pensacola,Pensacola-Ferry Pass-Brent FL,86.8865,34688607,54,8
,1411,QueBIT,IT Services,New York,Scarsdale,New York City,303.4832,19893669,55,8
,3708,TCG,Government Services,District of Columbia,Washington,Washington DC,85.8359,18864304,56,8
,4611,Golfballs.com,Retail,Louisiana,Lafayette,Lafayette LA,54.6073,17718000,56,8
,3668,Employment Screening Services,Human Resources,Alabama,Birmingham,Birmingham-Hoover AL,87.5169,12393822,58,8
,3939,The Online 401(k),Financial Services,California,San Francisco,San Francisco,76.8722,9329968,58,8
,4945,Advocate,IT Services,Georgia,Norcross,Atlanta,44.2217,11868000,58,8
,4979,Securities Service Network,Real Estate,Tennessee,Knoxville,Knoxville TN,43.0541,114153829,58,9
,3195,Integra Enclosures,Manufacturing,Ohio,Mentor,Cleveland,109.274,9441352,60,8
,3856,SaltWorks,Food & Beverage,Washington,Woodinville,Seattle,80.0201,17040178,61,8
,4340,352,Advertising & Marketing,Florida,Newberry,Gainesville FL,63.3469,5974881,61,8
,4818,Relay Express,Logistics & Transportation,Ohio,Fairfield,Cincinnati,48.1848,22602803,62,8
,3266,Finit Solutions,IT Services,Pennsylvania,Media,Philadelphia,105.2058,12161975,63,8
,3826,LawLogix Group,Software,Arizona,Phoenix,Phoenix,81.1988,12368651,63,8
,2506,BrightStar Care,Health,Illinois,Gurnee,Chicago,151.2174,249062623,65,8
,3927,Switchfast Technologies,IT Services,Illinois,Chicago,Chicago,77.2644,6990024,67,8
,4702,The Lloyd Group,IT Services,New York,New York,New York City,51.8131,11471000,70,8
,2667,Mercom,Government Services,South Carolina,Pawleys Island,Georgetown SC,140.699,111442127,73,8
,3809,LifeScript,Advertising & Marketing,California,Mission Viejo,Los Angeles,81.9039,39535000,73,8
,4779,Transfinder,Software,New York,Schenectady,Albany-Schenectady-Troy NY,49.3112,8596503,75,8
,4881,DiplomaFrame.com,Business Products & Services,Connecticut,Monroe,Bridgeport-Stamford-Norwalk CT,46.385,9073599,75,8
,4019,LaSalle Network,Human Resources,Illinois,Chicago,Chicago,74.1652,35579392,76,8
,3524,Inter Technologies,Business Products & Services,Indiana,South Bend,South Bend-Mishawaka IN-MI,93.3091,15456586,79,8
,4275,Education Management Solutions,Education,Pennsylvania,Exton,Philadelphia,65.579,19379156,79,8
,3496,Location3 Media,Advertising & Marketing,Colorado,Denver,Denver,94.4878,33877133,80,8
,4512,Amadeus Consulting,Software,Colorado,Boulder,Boulder CO,57.3052,9550000,80,8
,4669,The Benecon Group,Insurance,Pennsylvania,Lititz,Lancaster PA,52.7124,26744447,83,10
,4931,Novus Biologicals,Health,Colorado,Littleton,Denver,44.5655,19111214,83,8
,4209,New Glarus Brewing,Food & Beverage,Wisconsin,New Glarus,Madison WI,67.8224,36958212,84,8
,4992,American Portfolios Financial Services,Financial Services,New York,Holbrook,New York City,42.632,136072408,86,8
,3838,Stream Companies,Advertising & Marketing,Pennsylvania,Malvern,Philadelphia,80.7972,30105541,92,8
,3963,Customized Energy Solutions,Energy,Pennsylvania,Philadelphia,Philadelphia,76.204,23525000,94,8
,2810,Enjoy Life Foods,Food & Beverage,Illinois,Schiller Park,Chicago,131.4402,33089000,99,8
,2498,@Properties,Real Estate,Illinois,Chicago,Chicago,152.1948,123882403,100,8
,4961,Dennison Lubricants,Manufacturing,Massachusetts,Lakeville,Boston,43.7427,83268997,101,8
,3038,M33 Integrated Solutions,Logistics & Transportation,South Carolina,Greenville,Greenville-Mauldin-Easley SC,117.354,38865333,105,8
